winner,rank,state,state_abbreviation,county,fips,party,candidate,votes,fraction_votes,"Population, 2014 estimate","Population, 2010 (April 1) estimates base","Population, percent change - April 1, 2010 to July 1, 2014","Population, 2010","Persons under 5 years, percent, 2014","Persons under 18 years, percent, 2014","Persons 65 years and over, percent, 2014","Female persons, percent, 2014","White alone, percent, 2014","Black or African American alone, percent, 2014","American Indian and Alaska Native alone, percent, 2014","Asian alone, percent, 2014","Native Hawaiian and Other Pacific Islander alone, percent, 2014","Two or More Races, percent, 2014","Hispanic or Latino, percent, 2014","White alone, not Hispanic or Latino, percent, 2014","Living in same house 1 year & over, percent, 2009-2013","Foreign born persons, percent, 2009-2013","Language other than English spoken at home, pct age 5+, 2009-2013","High school graduate or higher, percent of persons age 25+, 2009-2013","Bachelor's degree or higher, percent of persons age 25+, 2009-2013","Veterans, 2009-2013","Mean travel time to work (minutes), workers age 16+, 2009-2013","Housing units, 2014","Homeownership rate, 2009-2013","Housing units in multi-unit structures, percent, 2009-2013","Median value of owner-occupied housing units, 2009-2013","Households, 2009-2013","Persons per household, 2009-2013","Per capita money income in past 12 months (2013 dollars), 2009-2013","Median household income, 2009-2013","Persons below poverty level, percent, 2009-2013","Private nonfarm establishments, 2013","Private nonfarm employment,  2013","Private nonfarm employment, percent change, 2012-2013","Nonemployer establishments, 2013","Total number of firms, 2007","Black-owned firms, percent, 2007","American Indian- and Alaska Native-owned firms, percent, 2007","Asian-owned firms, percent, 2007","Native Hawaiian- and Other Pacific Islander-owned firms, percent, 2007","Hispanic-owned firms, percent, 2007","Women-owned firms, percent, 2007","Manufacturers shipments, 2007 ($1,000)","Merchant wholesaler sales, 2007 ($1,000)","Retail sales, 2007 ($1,000)","Retail sales per capita, 2007","Accommodation and food services sales, 2007 ($1,000)","Building permits, 2014","Land area in square miles, 2010","Population per square mile, 2010"
1,1,Iowa,IA,Adair,19001,Republican,Ted Cruz,104.00,0.26,7454.00,7682.00,-3.00,7682.00,4.80,22.10,22.10,50.90,98.20,0.40,0.20,0.50,0.00,0.80,1.70,96.80,89.90,1.10,1.10,90.70,16.30,790.00,22.70,3674.00,77.10,9.30,90900.00,3295.00,2.26,25564.00,47892.00,9.50,187.00,1663.00,-0.20,626.00,745.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29361.00,49644.00,6546.00,4128.00,8.00,569.27,13.50
1,1,Iowa,IA,Adair,19001,Republican,Donald Trump,104.00,0.26,7454.00,7682.00,-3.00,7682.00,4.80,22.10,22.10,50.90,98.20,0.40,0.20,0.50,0.00,0.80,1.70,96.80,89.90,1.10,1.10,90.70,16.30,790.00,22.70,3674.00,77.10,9.30,90900.00,3295.00,2.26,25564.00,47892.00,9.50,187.00,1663.00,-0.20,626.00,745.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29361.00,49644.00,6546.00,4128.00,8.00,569.27,13.50
0,3,Iowa,IA,Adair,19001,Republican,Marco Rubio,80.00,0.20,7454.00,7682.00,-3.00,7682.00,4.80,22.10,22.10,50.90,98.20,0.40,0.20,0.50,0.00,0.80,1.70,96.80,89.90,1.10,1.10,90.70,16.30,790.00,22.70,3674.00,77.10,9.30,90900.00,3295.00,2.26,25564.00,47892.00,9.50,187.00,1663.00,-0.20,626.00,745.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29361.00,49644.00,6546.00,4128.00,8.00,569.27,13.50
0,4,Iowa,IA,Adair,19001,Republican,Ben Carson,61.00,0.15,7454.00,7682.00,-3.00,7682.00,4.80,22.10,22.10,50.90,98.20,0.40,0.20,0.50,0.00,0.80,1.70,96.80,89.90,1.10,1.10,90.70,16.30,790.00,22.70,3674.00,77.10,9.30,90900.00,3295.00,2.26,25564.00,47892.00,9.50,187.00,1663.00,-0.20,626.00,745.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29361.00,49644.00,6546.00,4128.00,8.00,569.27,13.50
0,5,Iowa,IA,Adair,19001,Republican,Carly Fiorina,16.00,0.04,7454.00,7682.00,-3.00,7682.00,4.80,22.10,22.10,50.90,98.20,0.40,0.20,0.50,0.00,0.80,1.70,96.80,89.90,1.10,1.10,90.70,16.30,790.00,22.70,3674.00,77.10,9.30,90900.00,3295.00,2.26,25564.00,47892.00,9.50,187.00,1663.00,-0.20,626.00,745.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29361.00,49644.00,6546.00,4128.00,8.00,569.27,13.50
0,6,Iowa,IA,Adair,19001,Republican,Rand Paul,12.00,0.03,7454.00,7682.00,-3.00,7682.00,4.80,22.10,22.10,50.90,98.20,0.40,0.20,0.50,0.00,0.80,1.70,96.80,89.90,1.10,1.10,90.70,16.30,790.00,22.70,3674.00,77.10,9.30,90900.00,3295.00,2.26,25564.00,47892.00,9.50,187.00,1663.00,-0.20,626.00,745.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29361.00,49644.00,6546.00,4128.00,8.00,569.27,13.50
0,7,Iowa,IA,Adair,19001,Republican,Mike Huckabee,11.00,0.03,7454.00,7682.00,-3.00,7682.00,4.80,22.10,22.10,50.90,98.20,0.40,0.20,0.50,0.00,0.80,1.70,96.80,89.90,1.10,1.10,90.70,16.30,790.00,22.70,3674.00,77.10,9.30,90900.00,3295.00,2.26,25564.00,47892.00,9.50,187.00,1663.00,-0.20,626.00,745.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29361.00,49644.00,6546.00,4128.00,8.00,569.27,13.50
0,8,Iowa,IA,Adair,19001,Republican,Rick Santorum,7.00,0.02,7454.00,7682.00,-3.00,7682.00,4.80,22.10,22.10,50.90,98.20,0.40,0.20,0.50,0.00,0.80,1.70,96.80,89.90,1.10,1.10,90.70,16.30,790.00,22.70,3674.00,77.10,9.30,90900.00,3295.00,2.26,25564.00,47892.00,9.50,187.00,1663.00,-0.20,626.00,745.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29361.00,49644.00,6546.00,4128.00,8.00,569.27,13.50
0,9,Iowa,IA,Adair,19001,Republican,Jeb Bush,4.00,0.01,7454.00,7682.00,-3.00,7682.00,4.80,22.10,22.10,50.90,98.20,0.40,0.20,0.50,0.00,0.80,1.70,96.80,89.90,1.10,1.10,90.70,16.30,790.00,22.70,3674.00,77.10,9.30,90900.00,3295.00,2.26,25564.00,47892.00,9.50,187.00,1663.00,-0.20,626.00,745.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29361.00,49644.00,6546.00,4128.00,8.00,569.27,13.50
0,9,Iowa,IA,Adair,19001,Republican,Chris Christie,4.00,0.01,7454.00,7682.00,-3.00,7682.00,4.80,22.10,22.10,50.90,98.20,0.40,0.20,0.50,0.00,0.80,1.70,96.80,89.90,1.10,1.10,90.70,16.30,790.00,22.70,3674.00,77.10,9.30,90900.00,3295.00,2.26,25564.00,47892.00,9.50,187.00,1663.00,-0.20,626.00,745.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29361.00,49644.00,6546.00,4128.00,8.00,569.27,13.50
