"winner","fips"
"0",19001
"0",19009
"0",19015
"0",19023
"0",19027
"1",19033
"0",19037
"0",19039
"0",19043
"1",19045
"0",19049
"1",19053
"0",19055
"1",19061
"0",19069
"0",19077
"1",19081
"1",19083
"0",19085
"0",19093
"0",19095
"0",19097
"1",19103
"0",19105
"0",19109
"1",19113
"1",19117
"1",19119
"0",19131
"1",19133
"1",19139
"1",19145
"1",19155
"1",19157
"0",19159
"0",19161
"1",19163
"0",19167
"0",19169
"0",19171
"0",19173
"0",19175
"1",19181
"1",19187
"0",19189
"1",19191
"0",19193
"1",19195
"1",19197
"0",32001
"1",32003
"1",32007
"1",32011
"1",32013
"1",32021
"1",32029
"1",32033
"1",45001
"1",45003
"1",45005
"1",45009
"1",45013
"1",45017
"1",45019
"1",45021
"1",45023
"1",45025
"1",45027
"1",45031
"1",45035
"1",45037
"1",45049
"1",45061
"1",45063
"1",45067
"1",45071
"1",45075
"1",45083
"1",45087
"1",45089
"1",45091
"1",33003
"0",33009
"0",33011
"1",33017
"1",33019
